operator_summary
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::cat         2.05%     363.532ms         4.03%     714.738ms       2.929ms       9.860ms         0.11%       9.860ms      40.408us       1.38 Gb       1.38 Gb       6.38 Gb       6.38 Gb           244  
                                            aten::relu_        -0.40%  -71578.666us         2.85%     505.939ms      85.032us       0.000us         0.00%     354.071ms      59.508us           0 b           0 b           0 b           0 b          5950  
                                             aten::add_         1.02%     180.391ms         2.76%     488.820ms      70.905us     670.473ms         7.34%     670.473ms      97.255us           0 b           0 b           0 b           0 b          6894  
                                       aten::clamp_min_         1.97%     349.438ms         2.73%     483.561ms      81.271us     354.071ms         3.87%     354.071ms      59.508us           0 b           0 b           0 b           0 b          5950  
                                            aten::stack         0.00%     211.898us         1.96%     347.247ms      57.875ms       0.000us         0.00%       0.000us       0.000us       1.38 Gb           0 b           0 b           0 b             6  
                                               aten::to         0.00%     576.533us         1.87%     330.804ms     391.484us       0.000us         0.00%     234.500ms     277.515us       1.84 Gb           0 b     961.95 Mb           0 b           845  
                                         aten::_to_copy         0.00%     339.986us         1.86%     330.227ms       3.796ms       0.000us         0.00%     234.500ms       2.695ms       1.84 Gb           0 b     961.95 Mb           0 b            87  
                                    cudaLaunchKernelExC         1.55%     275.445ms         1.55%     275.445ms      38.578us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          7140  
                                            aten::copy_         0.02%       3.246ms         1.37%     243.029ms      59.963us     234.951ms         2.57%     234.951ms      57.970us           0 b           0 b           0 b           0 b          4053  
                                        cudaMemcpyAsync         1.34%     238.377ms         1.34%     238.377ms     934.813us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           255  
                       cudaDeviceGetStreamPriorityRange         1.10%     194.331ms         1.10%     194.331ms      25.513us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      46.62 Gb      46.62 Gb          7617  
                                  cudaDeviceSynchronize         1.08%     190.893ms         1.08%     190.893ms      63.631ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                            aten::slice         0.70%     123.394ms         0.86%     153.345ms       3.509us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         43704  
                                    aten::empty_strided         0.00%     721.742us         0.52%      92.832ms       1.067ms       0.000us         0.00%     380.892us       4.378us       1.84 Gb       1.84 Gb     961.95 Mb     961.95 Mb            87  
                                        cudaMemsetAsync         0.38%      66.806ms         0.38%      66.806ms      40.027us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb       1.00 Kb          1669  
                                  cudaFuncGetAttributes         0.30%      53.293ms         0.30%      53.293ms     204.972us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           260  
                                   cudaFuncSetAttribute         0.18%      32.040ms         0.18%      32.040ms       2.243us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         14284  
                                       aten::as_strided         0.18%      31.755ms         0.18%      31.755ms       0.696us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         45630  
                                         cuLaunchKernel         0.16%      28.355ms         0.16%      28.355ms      39.712us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           714  
                                             aten::view         0.15%      26.922ms         0.15%      26.922ms       1.120us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         24044  
                                         aten::uniform_         0.14%      24.704ms         0.14%      24.704ms     748.619us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            33  
                                              aten::pow         0.00%     158.872us         0.12%      21.562ms       3.594ms       6.880us         0.00%       6.880us       1.147us           0 b           0 b       3.00 Kb       2.50 Kb             6  
                                              aten::exp         0.00%      84.283us         0.08%      13.941ms       2.323ms       7.360us         0.00%       7.360us       1.227us           0 b           0 b       3.00 Kb       2.00 Kb             6  
                                              aten::min         0.00%     100.628us         0.08%      13.497ms       6.749ms      13.952us         0.00%      15.904us       7.952us           0 b           0 b       1.00 Kb      -1.00 Kb             2  
                             aten::upsample_trilinear3d         0.04%       6.845ms         0.07%      11.772ms      15.675us     284.985ms         3.12%     308.690ms     411.039us           0 b           0 b     143.73 Gb      35.41 Gb           751  
                                           aten::narrow         0.03%       5.388ms         0.06%      11.490ms       6.035us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1904  
                                           aten::clamp_         0.00%      64.793us         0.06%      11.361ms       5.681ms       5.088us         0.00%       5.088us       2.544us           0 b           0 b           0 b           0 b             2  
                                           aten::unbind         0.02%       3.494ms         0.05%       9.241ms      38.826us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           238  
                                        cudaEventRecord         0.05%       8.250ms         0.05%       8.250ms       1.083us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     203.49 Gb     203.49 Gb          7616  
                                             cudaMalloc         0.04%       7.845ms         0.04%       7.845ms     392.242us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20  
                                              aten::add         0.03%       5.126ms         0.04%       7.264ms      10.173us      97.988ms         1.07%      97.988ms     137.239us           0 b           0 b     131.51 Gb      55.90 Gb           714  
                                              aten::mul         0.00%      95.721us         0.03%       6.021ms       1.505ms      12.832us         0.00%      12.832us       3.208us           0 b           0 b       6.82 Mb       6.82 Mb             4  
                                           aten::select         0.02%       4.209ms         0.03%       5.848ms       3.065us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1908  
                                              aten::div         0.00%     119.014us         0.03%       5.716ms     952.696us       6.848us         0.00%       6.848us       1.141us           0 b           0 b       3.00 Kb       2.00 Kb             6  
                                           aten::argmax         0.00%     156.076us         0.03%       4.986ms       2.493ms      51.977ms         0.57%      51.977ms      25.988ms           0 b           0 b       1.84 Gb       1.84 Gb             2  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.03%       4.791ms         0.03%       4.791ms     798.547us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
                                           aten::arange         0.00%     156.321us         0.03%       4.461ms     371.781us       5.793us         0.00%      36.804us       3.067us           0 b           0 b       6.00 Kb           0 b            12  
                             cudaGetDeviceProperties_v2         0.02%       4.394ms         0.02%       4.394ms       1.465ms       1.056us         0.00%       1.056us       0.352us           0 b           0 b           0 b           0 b             3  
                                  cudaStreamGetPriority         0.02%       4.273ms         0.02%       4.273ms       0.561us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      51.74 Gb      51.74 Gb          7616  
                                            aten::zeros         0.00%     428.894us         0.02%       4.002ms       1.000ms       0.000us         0.00%      15.734ms       3.934ms           0 b           0 b      24.86 Gb           0 b             4  
                                             aten::mul_         0.01%       1.864ms         0.02%       2.890ms      12.144us     130.853ms         1.43%     130.853ms     549.804us           0 b           0 b           0 b           0 b           238  
                                  cudaStreamIsCapturing         0.01%       2.535ms         0.01%       2.535ms       0.332us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      63.12 Gb      63.12 Gb          7635  
                                     cudaGetDeviceCount         0.01%       2.124ms         0.01%       2.124ms     707.953us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                 cudaDeviceGetAttribute         0.01%       1.533ms         0.01%       1.533ms       2.028us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           756  
                                  cudaStreamSynchronize         0.01%       1.459ms         0.01%       1.459ms       8.485us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           172  
                                    cudaPeekAtLastError         0.01%       1.449ms         0.01%       1.449ms       0.108us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         13385  
                                             aten::item         0.00%      40.282us         0.01%       1.165ms     232.920us       0.000us         0.00%       5.856us       1.171us           0 b           0 b           0 b           0 b             5  
                              aten::_local_scalar_dense         0.00%      65.512us         0.01%       1.124ms     224.864us       5.856us         0.00%       5.856us       1.171us           0 b           0 b           0 b           0 b             5  
                                          cudaHostAlloc         0.01%       1.017ms         0.01%       1.017ms     508.468us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          aten::reshape         0.00%     341.378us         0.00%     561.942us       2.361us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           238  
                              cudaStreamCreateWithFlags         0.00%     480.409us         0.00%     480.409us      30.026us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
                                             aten::set_         0.00%     416.957us         0.00%     416.957us       1.635us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -3.00 Kb      -3.00 Kb           255  
                                          aten::resize_         0.00%      67.586us         0.00%     280.677us      46.780us       0.000us         0.00%      12.609us       2.101us           0 b           0 b       3.00 Kb       3.50 Kb             6  
                                           aten::detach         0.00%     122.306us         0.00%     260.443us       2.862us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            91  
                                             aten::div_         0.00%      72.199us         0.00%     233.569us     116.785us      21.868ms         0.24%      21.868ms      10.934ms           0 b           0 b           0 b           0 b             2  
                                       cudaStreamCreate         0.00%     177.945us         0.00%     177.945us     177.945us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                 detach         0.00%     138.137us         0.00%     138.137us       1.518us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            91  
                                            aten::zero_         0.00%      26.096us         0.00%     118.203us       4.076us       0.000us         0.00%       7.865ms     271.206us           0 b           0 b           0 b           0 b            29  
                                        aten::unsqueeze         0.00%      65.961us         0.00%      86.210us       6.158us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            14  
                                  aten::feature_dropout         0.00%      86.043us         0.00%      86.043us       0.362us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           238  
                                   cudaGetSymbolAddress         0.00%      56.577us         0.00%      56.577us      56.577us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::lift_fresh         0.00%      54.589us         0.00%      54.589us       5.459us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::detach_         0.00%      10.217us         0.00%      23.296us      11.648us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          aten::random_         0.00%      21.155us         0.00%      21.155us      21.155us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                         cudaOccupancyMaxActiveClusters         0.00%      16.229us         0.00%      16.229us       0.524us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            31  
                aten::_has_compatible_shallow_copy_type         0.00%      16.226us         0.00%      16.226us       0.098us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           166  
                                                detach_         0.00%      13.079us         0.00%      13.079us       6.540us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                     aten::resolve_conj         0.00%       6.895us         0.00%       6.895us       0.862us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8  
                                      aten::result_type         0.00%       5.698us         0.00%       5.698us       0.950us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
                                      cudaStreamDestroy         0.00%       5.449us         0.00%       5.449us       5.449us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
              cudaOccupancyAvailableDynamicSMemPerBlock         0.00%       3.225us         0.00%       3.225us       1.613us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                      aten::resolve_neg         0.00%       2.067us         0.00%       2.067us       0.258us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8  
                               cudaHostGetDevicePointer         0.00%       1.579us         0.00%       1.579us       1.579us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               cudaFree         0.00%       1.189us         0.00%       1.189us       1.189us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                cudaGetDriverEntryPoint         0.00%       0.976us         0.00%       0.976us       0.488us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                   cudaDriverGetVersion         0.00%       0.505us         0.00%       0.505us       0.252us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us      -3.13 Gb      -3.13 Gb   -1841.09 Gb   -1841.09 Gb         15341  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     103.594ms         1.13%     103.594ms     616.633us           0 b           0 b           0 b           0 b           168  
void at::native::vectorized_elementwise_kernel<4; at...         0.00%       0.000us         0.00%       0.000us       0.000us     272.976ms         2.99%     272.976ms       9.132us           0 b           0 b           0 b           0 b         29893  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     111.233us         0.00%     111.233us       1.340us           0 b           0 b           0 b           0 b            83  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       5.793us         0.00%       5.793us       0.966us           0 b           0 b           0 b           0 b             6  
void at::native::vectorized_elementwise_kernel<4; at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.880us         0.00%       6.880us       1.147us           0 b           0 b           0 b           0 b             6  
void at::native::vectorized_elementwise_kernel<4; at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.848us         0.00%       6.848us       1.141us           0 b           0 b           0 b           0 b             6  
void at::native::vectorized_elementwise_kernel<4; at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.360us         0.00%       7.360us       1.227us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128; 2; at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     130.866ms         1.43%     130.866ms     540.770us           0 b           0 b           0 b           0 b           242  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.683ms         0.02%       1.683ms       1.009us           0 b           0 b           0 b           0 b          1669  
void at::native::reduce_kernel<512; 1; at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      12.192us         0.00%      12.192us       6.096us           0 b           0 b           0 b           0 b             2  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       5.856us         0.00%       5.856us       2.928us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4; at...         0.00%       0.000us         0.00%       0.000us       0.000us     354.077ms         3.87%     354.077ms      59.489us           0 b           0 b           0 b           0 b          5952  
void at::native::elementwise_kernel<128; 2; at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       9.860ms         0.11%       9.860ms       5.189us           0 b           0 b           0 b           0 b          1900  
sm80_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchw...         0.00%       0.000us         0.00%       0.000us       0.000us     220.877ms         2.42%     220.877ms     928.056us           0 b           0 b           0 b           0 b           238  
void at::native::(anonymous namespace)::RowwiseMomen...         0.00%       0.000us         0.00%       0.000us       0.000us        2.400s        26.27%        2.400s     403.422us           0 b           0 b           0 b           0 b          5950  
void at::native::(anonymous namespace)::ComputeFused...         0.00%       0.000us         0.00%       0.000us       0.000us      13.005ms         0.14%      13.005ms       2.186us           0 b           0 b           0 b           0 b          5950  
void at::native::elementwise_kernel<128; 2; at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     575.115ms         6.29%     575.115ms      96.658us           0 b           0 b           0 b           0 b          5950  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us     553.672ms         6.06%     553.672ms     105.743us           0 b           0 b           0 b           0 b          5236  
sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_tf32f3...         0.00%       0.000us         0.00%       0.000us       0.000us        1.283s        14.04%        1.283s       1.347ms           0 b           0 b           0 b           0 b           952  
void cudnn::engines_precompiled::nhwcToNchwKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us     399.555ms         4.37%     399.555ms      79.943us           0 b           0 b           0 b           0 b          4998  
void at::native::vectorized_elementwise_kernel<4; at...         0.00%       0.000us         0.00%       0.000us       0.000us     319.261ms         3.49%     319.261ms      89.429us           0 b           0 b           0 b           0 b          3570  
sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_tf32f3...         0.00%       0.000us         0.00%       0.000us       0.000us      86.689ms         0.95%      86.689ms     364.240us           0 b           0 b           0 b           0 b           238  
sm80_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us     979.534ms        10.72%     979.534ms     685.948us           0 b           0 b           0 b           0 b          1428  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us      63.806ms         0.70%      63.806ms       8.378us           0 b           0 b           0 b           0 b          7616  
sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhw...         0.00%       0.000us         0.00%       0.000us       0.000us     178.225ms         1.95%     178.225ms     106.466us           0 b           0 b           0 b           0 b          1674  
void cask_plugin__5x_cudnn::xmma__5x_cudnn::init_dev...         0.00%       0.000us         0.00%       0.000us       0.000us     710.752us         0.01%     710.752us       2.986us           0 b           0 b           0 b           0 b           238  
sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhw...         0.00%       0.000us         0.00%       0.000us       0.000us       8.253ms         0.09%       8.253ms      34.676us           0 b           0 b           0 b           0 b           238  
sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhw...         0.00%       0.000us         0.00%       0.000us       0.000us      76.663ms         0.84%      76.663ms      40.434us           0 b           0 b           0 b           0 b          1896  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.476ms         0.02%       1.476ms       6.228us           0 b           0 b           0 b           0 b           237  
void at::native::(anonymous namespace)::upsample_tri...         0.00%       0.000us         0.00%       0.000us       0.000us     284.985ms         3.12%     284.985ms     399.138us           0 b           0 b           0 b           0 b           714  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us      19.310ms         0.21%      19.310ms      40.567us           0 b           0 b           0 b           0 b           476  
sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize32x32x...         0.00%       0.000us         0.00%       0.000us       0.000us     147.049ms         1.61%     147.049ms     617.852us           0 b           0 b           0 b           0 b           238  
void at::native::elementwise_kernel<128; 2; at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     449.200ms         4.92%     449.200ms      23.973us           0 b           0 b           0 b           0 b         18738  
void at::native::elementwise_kernel<128; 2; at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      18.776ms         0.21%      18.776ms       1.341ms           0 b           0 b           0 b           0 b            14  
void at::native::reduce_kernel<128; 4; at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      51.977ms         0.57%      51.977ms       2.599ms           0 b           0 b           0 b           0 b            20  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us     131.245ms         1.44%     131.245ms      65.623ms           0 b           0 b           0 b           0 b             2  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us       4.800us         0.00%       4.800us       4.800us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4; at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.093ms         0.03%       3.093ms     515.467us           0 b           0 b           0 b           0 b             6  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 17.735s
Self CUDA time total: 9.139s
