case_id,image_path,label_path,dataset_source,spacing_x,spacing_y,spacing_z,shape_x,shape_y,shape_z
sub_verse629_dir_ax,${VERSE_ROOT}/rawdata/sub-verse629/sub-verse629_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse629/sub-verse629_dir-ax_seg-vert_msk.nii.gz,verse,0.650391,0.650391,0.600000,512,512,689
sub_verse631,${VERSE_ROOT}/rawdata/sub-verse631/sub-verse631_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse631/sub-verse631_seg-vert_msk.nii.gz,verse,0.685547,0.685714,2.000000,512,1190,158
sub_verse641_dir_ax,${VERSE_ROOT}/rawdata/sub-verse641/sub-verse641_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse641/sub-verse641_dir-ax_seg-vert_msk.nii.gz,verse,0.761719,0.761719,0.599976,512,512,407
sub_verse642_dir_sag,${VERSE_ROOT}/rawdata/sub-verse642/sub-verse642_dir-sag_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse642/sub-verse642_dir-sag_seg-vert_msk.nii.gz,verse,0.375000,0.375067,3.000157,512,1869,125
sub_verse807_dir_ax,${VERSE_ROOT}/rawdata/sub-verse807/sub-verse807_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse807/sub-verse807_dir-ax_seg-vert_msk.nii.gz,verse,0.912109,0.912109,0.600000,512,512,725
sub_verse808_dir_iso,${VERSE_ROOT}/rawdata/sub-verse808/sub-verse808_dir-iso_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse808/sub-verse808_dir-iso_seg-vert_msk.nii.gz,verse,0.667969,0.667969,0.700012,512,512,613
sub_verse811_dir_ax,${VERSE_ROOT}/rawdata/sub-verse811/sub-verse811_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse811/sub-verse811_dir-ax_seg-vert_msk.nii.gz,verse,0.863281,0.863281,1.500000,512,512,342
sub_verse818_dir_ax,${VERSE_ROOT}/rawdata/sub-verse818/sub-verse818_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse818/sub-verse818_dir-ax_seg-vert_msk.nii.gz,verse,0.775391,0.775391,1.000000,512,512,479
sub_verse820_dir_ax,${VERSE_ROOT}/rawdata/sub-verse820/sub-verse820_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse820/sub-verse820_dir-ax_seg-vert_msk.nii.gz,verse,0.664062,0.664062,1.000000,512,512,468
sub_verse823_dir_iso,${VERSE_ROOT}/rawdata/sub-verse823/sub-verse823_dir-iso_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse823/sub-verse823_dir-iso_seg-vert_msk.nii.gz,verse,0.718750,0.718750,0.700012,512,512,1214
sub_verse824_dir_ax,${VERSE_ROOT}/rawdata/sub-verse824/sub-verse824_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse824/sub-verse824_dir-ax_seg-vert_msk.nii.gz,verse,0.650391,0.650391,1.000000,512,512,452
sub_verse825_dir_ax,${VERSE_ROOT}/rawdata/sub-verse825/sub-verse825_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse825/sub-verse825_dir-ax_seg-vert_msk.nii.gz,verse,0.919922,0.919922,0.700012,512,512,603
sub_verse833_dir_ax,${VERSE_ROOT}/rawdata/sub-verse833/sub-verse833_dir-ax_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse833/sub-verse833_dir-ax_seg-vert_msk.nii.gz,verse,0.667605,0.667606,1.499793,619,512,458
sub_verse835_dir_iso,${VERSE_ROOT}/rawdata/sub-verse835/sub-verse835_dir-iso_ct.nii.gz,${VERSE_ROOT}/derivatives/sub-verse835/sub-verse835_dir-iso_seg-vert_msk.nii.gz,verse,0.779297,0.779297,0.800018,512,512,537
